,Algorithm,Alpha,Trial,Min_Error,Min_Error_Idx,Sum_Error
0,MPPS,1.0,0,0.2497340251383737,799,388.2939616137393
1,MPPS,5.0,0,0.21892846207528946,340,276.54190721401926
2,MPPS,10.0,0,0.19053881022016675,277,256.91505563894555
3,MPPS,15.0,0,0.18066579347481374,246,250.1579527273402
4,MPPS,20.0,0,0.19155519538040564,234,248.56096722890268
5,MPPS,25.0,0,0.20861986383747194,222,249.37821645433786
6,ADMM,1.0,0,1.5666401580528608,2399,5220.001546158985
7,ADMM,10.0,0,0.27856883240934466,2399,1892.1614896348206
8,ADMM,100.0,0,0.22646343535808403,2399,871.4557190068211
9,ADMM,125.0,0,0.23105523543886244,2399,857.0590936971957
10,ADMM,140.0,0,0.2357417111138043,1437,852.1392215800287
11,ADMM,145.0,0,0.2354260351299751,1383,850.5128514311344
12,ADMM,150.0,0,0.23459654570962146,1433,848.86694366348
13,ADMM,155.0,0,0.2339018564234672,1480,847.1206851012424
14,ADMM,160.0,0,0.2338511454805656,1504,845.4186918741011
15,ADMM,175.0,0,0.2335699535520276,1456,839.4379798272266
16,ADMM,200.0,0,0.2336482276972686,1190,829.6646424804421
17,ADMM,225.0,0,0.22976334504317883,1147,822.8302707308176
18,MPPS,1.0,1,0.5377456136217245,799,902.859732696375
19,MPPS,5.0,1,0.33169728224068673,274,567.9287002551935
20,MPPS,10.0,1,0.337414202637829,188,501.49861433424593
21,MPPS,15.0,1,0.3134322883425258,125,475.43684426275166
22,MPPS,20.0,1,0.3222671265456698,109,461.526520839501
23,MPPS,25.0,1,0.3347233614998678,110,453.4687898156425
24,ADMM,1.0,1,2.8059788175949,2399,7673.569387422742
25,ADMM,10.0,1,1.4278349929435425,2399,4835.152746056285
26,ADMM,100.0,1,0.38643195788653195,1203,1939.4987461856176
27,ADMM,125.0,1,0.3773556578812191,1065,1828.852140173601
28,ADMM,140.0,1,0.3688551873629047,1035,1781.3550126987423
29,ADMM,145.0,1,0.3657661369452652,1014,1767.0447565143786
30,ADMM,150.0,1,0.3621756194115132,991,1753.184560133968
31,ADMM,155.0,1,0.35921868641384935,976,1740.2194751754982
32,ADMM,160.0,1,0.3564159957663627,944,1728.043165053076
33,ADMM,175.0,1,0.3475584806994929,936,1696.8406081551868
34,ADMM,200.0,1,0.34670165916633866,901,1653.2498384332312
35,ADMM,225.0,1,0.3581793256881633,869,1618.0502618514731
36,MPPS,1.0,2,0.23423711232072728,554,565.3369186982258
37,MPPS,5.0,2,0.20928695218603693,219,316.26148377842173
38,MPPS,10.0,2,0.24519238347803668,497,293.2732900099711
39,MPPS,15.0,2,0.25472539395405286,735,292.2500137071773
40,MPPS,20.0,2,0.27322491015802275,785,295.3530792791407
41,MPPS,25.0,2,0.2718903402395859,359,297.2496260902403
42,ADMM,1.0,2,2.6598176805938407,2399,7280.8410979635055
43,ADMM,10.0,2,0.8134014266894377,2399,3951.9211657885344
44,ADMM,100.0,2,0.23902773021914797,1426,1131.0060683210227
45,ADMM,125.0,2,0.2441726096781833,2316,1069.430632394433
46,ADMM,140.0,2,0.24631446989295913,2399,1045.9581041432039
47,ADMM,145.0,2,0.24739386437836264,1871,1038.9146570460985
48,ADMM,150.0,2,0.248173160169304,1941,1032.2411545960604
49,ADMM,155.0,2,0.24898329805211256,2035,1025.860088752689
50,ADMM,160.0,2,0.2495971058659868,2110,1020.0463035284153
51,ADMM,175.0,2,0.25056940683436774,2335,1005.1361708190467
52,ADMM,200.0,2,0.25626372823566634,570,986.3772688040332
53,ADMM,225.0,2,0.25878491633837053,602,974.2381071796433
54,MPPS,1.0,3,0.17313702507503348,186,336.7636267547269
55,MPPS,5.0,3,0.18612694400434968,162,263.32005694093186
56,MPPS,10.0,3,0.14680424853927312,112,242.78410791058235
57,MPPS,15.0,3,0.13974604851522918,110,233.593755883798
58,MPPS,20.0,3,0.15429982228333194,108,231.22495129198575
59,MPPS,25.0,3,0.1698099314077762,108,231.65896014976894
60,ADMM,1.0,3,2.002925907250111,2399,6063.032332016776
61,ADMM,10.0,3,0.177867243374527,2288,2041.807330224458
62,ADMM,100.0,3,0.16843113947294164,706,778.6430046058459
63,ADMM,125.0,3,0.16802389555722194,658,761.5197456416342
64,ADMM,140.0,3,0.17478535838427164,623,753.6351486912284
65,ADMM,145.0,3,0.17546528415224483,618,751.2302876996625
66,ADMM,150.0,3,0.17464675374078265,599,748.8468140970433
67,ADMM,155.0,3,0.17261731197557242,583,746.698233897084
68,ADMM,160.0,3,0.17061764694041218,571,744.6762259218265
69,ADMM,175.0,3,0.1649071725368541,561,739.6179915871217
70,ADMM,200.0,3,0.1629113528621947,546,731.4792057184413
71,ADMM,225.0,3,0.166165041243126,535,725.5395353534427
72,MPPS,1.0,4,0.22892293466802754,261,415.1149682269017
73,MPPS,5.0,4,0.22604753687957954,295,289.29179913429954
74,MPPS,10.0,4,0.2036333596518551,207,275.69334952247436
75,MPPS,15.0,4,0.2190874396693686,285,274.7647241819536
76,MPPS,20.0,4,0.23059769478972422,496,276.8501618540322
77,MPPS,25.0,4,0.23490518423044848,566,280.87921055637787
78,ADMM,1.0,4,2.2111556031518718,2399,6591.752960775628
79,ADMM,10.0,4,0.3118648412088944,2399,2773.886370358204
80,ADMM,100.0,4,0.2193434968974974,1261,959.5337328765481
81,ADMM,125.0,4,0.21864186304138153,1070,931.485120983655
82,ADMM,140.0,4,0.21532003050637336,1043,919.3446310473089
83,ADMM,145.0,4,0.2147169794978052,1009,915.9231906195614
84,ADMM,150.0,4,0.21360889656774107,1006,913.0067802105948
85,ADMM,155.0,4,0.21291704330555142,1004,910.330055675221
86,ADMM,160.0,4,0.21239870196297087,999,907.9207082987986
87,ADMM,175.0,4,0.21033228833695777,981,901.1991373245392
88,ADMM,200.0,4,0.20897762428344863,971,891.9370870974647
89,ADMM,225.0,4,0.20746850313062126,912,887.0784031426184
90,MPPS,1.0,5,0.22988394090459516,754,541.4836085970524
91,MPPS,5.0,5,0.24675814041886196,641,344.73305335598764
92,MPPS,10.0,5,0.24946024977873663,775,326.46201646832276
93,MPPS,15.0,5,0.26778977886898553,797,324.4368041642662
94,MPPS,20.0,5,0.2818501339034398,123,321.08362287277
95,MPPS,25.0,5,0.2974092668947011,799,319.52210707878413
96,ADMM,1.0,5,2.374569324615128,2399,6849.206106175912
97,ADMM,10.0,5,0.8229208130484491,2399,3595.8363352089027
98,ADMM,100.0,5,0.2571200201460692,1162,1237.1765024564659
99,ADMM,125.0,5,0.2598322009229372,2399,1186.039318820432
100,ADMM,140.0,5,0.2583629822996219,2399,1165.4278881320556
101,ADMM,145.0,5,0.2578642934687599,2398,1159.684881342433
102,ADMM,150.0,5,0.2577718474704055,2399,1154.3375061248325
103,ADMM,155.0,5,0.258480730805576,2399,1149.4587370198774
104,ADMM,160.0,5,0.25979852428724665,2399,1144.8074197623337
105,ADMM,175.0,5,0.2630371736759448,2399,1132.7553726186786
106,ADMM,200.0,5,0.27001501959421975,2399,1117.141624025532
107,ADMM,225.0,5,0.2759579849488429,797,1103.2980391233714
108,MPPS,1.0,6,0.16313945077837702,669,692.0882174867394
109,MPPS,5.0,6,0.1280656627945747,201,305.9420653576566
110,MPPS,10.0,6,0.14118222836400457,209,241.06311583628863
111,MPPS,15.0,6,0.13657891423131036,297,217.43047600735036
112,MPPS,20.0,6,0.14521962029842037,407,206.95158429393447
113,MPPS,25.0,6,0.14599660786892946,622,203.05999928443208
114,ADMM,1.0,6,2.8164081777511085,2399,7708.88924563931
115,ADMM,10.0,6,1.2085200186681708,2399,4851.278259385036
116,ADMM,100.0,6,0.13863781210971393,891,1152.0896258121418
117,ADMM,125.0,6,0.13919003315073367,799,1042.9880705951675
118,ADMM,140.0,6,0.1420581475963677,759,994.0877771601376
119,ADMM,145.0,6,0.14208668141989728,728,979.1132438360189
120,ADMM,150.0,6,0.14205507489228056,712,965.1269302142869
121,ADMM,155.0,6,0.14246925449079859,707,951.9237370603581
122,ADMM,160.0,6,0.14347833477075292,701,939.4040154920078
123,ADMM,175.0,6,0.14363324535185368,689,905.097795911579
124,ADMM,200.0,6,0.1468306843472569,701,858.81057365657
125,ADMM,225.0,6,0.1463948153424513,912,820.9052053896523
126,MPPS,1.0,7,0.1645760340855616,375,309.5262056578448
127,MPPS,5.0,7,0.18632682825790478,683,236.0516575830094
128,MPPS,10.0,7,0.20073962915805912,182,238.86530487174358
129,MPPS,15.0,7,0.1949400154200966,181,238.16153148991754
130,MPPS,20.0,7,0.19762667648886367,167,238.5325214546403
131,MPPS,25.0,7,0.20556009977185255,111,240.486076130083
132,ADMM,1.0,7,1.8670386795898657,2399,5961.970539976427
133,ADMM,10.0,7,0.2575452838232872,2399,2175.2870723081714
134,ADMM,100.0,7,0.18259449935364414,2348,790.383063459519
135,ADMM,125.0,7,0.19185558498103772,2399,782.7728735442627
136,ADMM,140.0,7,0.19903617693525436,2399,781.0639103832007
137,ADMM,145.0,7,0.20207738098872424,2399,780.3382044910766
138,ADMM,150.0,7,0.20518462636496315,2399,779.3356349999788
139,ADMM,155.0,7,0.2065944118181713,2372,778.3450593050617
140,ADMM,160.0,7,0.206952622452264,2389,777.5257241424799
141,ADMM,175.0,7,0.20817627724676824,2352,775.6422532837889
142,ADMM,200.0,7,0.2114119640384457,929,772.9673056766264
143,ADMM,225.0,7,0.20984052307742618,479,769.0855198506354
144,MPPS,1.0,8,0.2209555682603302,161,407.6518372443516
145,MPPS,5.0,8,0.29487868288625646,666,314.5926554151113
146,MPPS,10.0,8,0.29023476955227906,89,311.7306353064996
147,MPPS,15.0,8,0.27801509288514026,74,319.2820517402587
148,MPPS,20.0,8,0.28211494460653125,71,329.2298203490509
149,MPPS,25.0,8,0.28522522887812546,68,338.1005526722446
150,ADMM,1.0,8,2.170589252524821,2399,6329.407430239518
151,ADMM,10.0,8,0.2515685650142496,1626,2103.670569584099
152,ADMM,100.0,8,0.29677252986724273,2163,1028.107693734737
153,ADMM,125.0,8,0.29500549549980937,1916,1006.3125458812303
154,ADMM,140.0,8,0.2962654376235983,2147,998.1730702432606
155,ADMM,145.0,8,0.2962598398577673,2223,995.9069215633605
156,ADMM,150.0,8,0.29665936547398947,2306,994.1755456545873
157,ADMM,155.0,8,0.29702215366243784,2399,993.0147549729868
158,ADMM,160.0,8,0.29805353385398553,2399,991.8566739154237
159,ADMM,175.0,8,0.3015652332067459,2399,989.5845454852706
160,ADMM,200.0,8,0.31193236977345945,2285,986.2748773716017
161,ADMM,225.0,8,0.31358792833066784,2399,986.0127318542677
162,MPPS,1.0,9,0.261787329411368,799,1197.2985891089725
163,MPPS,5.0,9,0.1844655244680847,229,458.69848474132783
164,MPPS,10.0,9,0.21221186037654763,237,385.9749750013134
165,MPPS,15.0,9,0.21974387754801483,372,364.3614148913333
166,MPPS,20.0,9,0.22611994192231824,406,361.46559324783743
167,MPPS,25.0,9,0.24074694481409803,530,363.9434437829285
168,ADMM,1.0,9,3.8103742914847465,2399,9741.364040928376
169,ADMM,10.0,9,2.085678125505591,2399,7017.121446101832
170,ADMM,100.0,9,0.18415364712323098,1277,1769.0717763656044
171,ADMM,125.0,9,0.19214528945230477,1206,1605.0407947150584
172,ADMM,140.0,9,0.19771403720246677,1009,1539.1905755928628
173,ADMM,145.0,9,0.19946641220996267,1013,1521.0267977896397
174,ADMM,150.0,9,0.20179215247294213,996,1504.6923939693013
175,ADMM,155.0,9,0.20238852955511297,998,1489.9828480306442
176,ADMM,160.0,9,0.2015356616012739,1005,1476.7038650913555
177,ADMM,175.0,9,0.20312257707710907,1010,1442.2416136498393
178,ADMM,200.0,9,0.20942058773821232,1005,1397.8480439204131
179,ADMM,225.0,9,0.22340233653409614,1007,1365.9650104304537
180,MPPS,1.0,10,0.13980338565289435,440,273.3570874580451
181,MPPS,5.0,10,0.12901032235239399,139,184.2660279684531
182,MPPS,10.0,10,0.1443239625564633,308,183.46037140081037
183,MPPS,15.0,10,0.15272232760819995,799,192.79788361718624
184,MPPS,20.0,10,0.15815034445477896,677,203.4648925212618
185,MPPS,25.0,10,0.16078665019741364,799,213.6607977791181
186,ADMM,1.0,10,1.8711177226284181,2399,5963.955516851916
187,ADMM,10.0,10,0.16861307017911492,2399,1962.2819800211773
188,ADMM,100.0,10,0.1307696799112923,676,611.7689845021625
189,ADMM,125.0,10,0.1319297320862002,659,597.0414959907132
190,ADMM,140.0,10,0.13741868772321253,659,591.4050704411409
191,ADMM,145.0,10,0.13918279456389054,651,590.1286395539425
192,ADMM,150.0,10,0.1397167837716636,635,589.0281907822462
193,ADMM,155.0,10,0.14067245756449498,641,588.1364795812162
194,ADMM,160.0,10,0.14177517322191768,979,587.50025637078
195,ADMM,175.0,10,0.14074442958390287,1062,586.7599876142817
196,ADMM,200.0,10,0.1442612911732276,1247,586.7499350790474
197,ADMM,225.0,10,0.1470898666387887,1495,590.5514644328734
198,MPPS,1.0,11,0.18262983280820927,237,375.0756441753704
